FilePath,PackingType,Emoji1,Emoji2,Emoji3,Emoji4,Emoji5,Emoji6,Emoji7,Emoji8
dobble-decks/classic-dobble-224-px/classic-dobble-224-px_001.png,ccib,cactus,anchor,bomb,cheesewedge,candle,carrot,bison,babybottle
dobble-decks/classic-dobble-224-px/classic-dobble-224-px_002.png,ccib,deciduoustree,droplet,anchor,drunkperson,chesspawn,dragon,clownface,dogface
dobble-decks/classic-dobble-224-px/classic-dobble-224-px_003.png,ccib,greenapple,eye,ghost,grinningcatwithsmilingeyes,fire,hammer,anchor,fourleafclover
dobble-decks/classic-dobble-224-px/classic-dobble-224-px_004.png,ccis,key,handwithfingerssplayed,highheeledshoe,ice,heart,ladybeetle,anchor,highvoltage
dobble-decks/classic-dobble-224-px/classic-dobble-224-px_005.png,ccir,anchor,lightbulb,locked,mapleleaf,mouth,lastquartermoonface,microbe,mountfuji
dobble-decks/classic-dobble-224-px/classic-dobble-224-px_006.png,ccic,musicalscore,rosette,oncomingpolicecar,anchor,redquestionmark,redexclamationmark,scissors,pencil
dobble-decks/classic-dobble-224-px/classic-dobble-224-px_007.png,ccis,anchor,stopsign,skullandcrossbones,spider,spiderweb,snowflake,spoutingwhale,snowmanwithoutsnow
dobble-decks/classic-dobble-224-px/classic-dobble-224-px_008.png,cci,trex,sunwithface,yinyang,turtle,timer,twitter,anchor,sunglasses
dobble-decks/classic-dobble-224-px/classic-dobble-224-px_009.png,ccis,sunglasses,chesspawn,babybottle,skullandcrossbones,eye,handwithfingerssplayed,musicalscore,lastquartermoonface
dobble-decks/classic-dobble-224-px/classic-dobble-224-px_010.png,cci,clownface,babybottle,oncomingpolicecar,snowflake,fire,lightbulb,sunwithface,heart
dobble-decks/classic-dobble-224-px/classic-dobble-224-px_011.png,ccir,fourleafclover,locked,highheeledshoe,pencil,timer,snowmanwithoutsnow,babybottle,deciduoustree
dobble-decks/classic-dobble-224-px/classic-dobble-224-px_012.png,cci,dogface,babybottle,ghost,redexclamationmark,spider,mapleleaf,trex,highvoltage
