CardNr;FilePath;PackingType;Emoji1;Emoji2;Emoji3;Emoji4;Emoji5;Emoji6;Emoji7;Emoji8
001;dobble-decks/classic-dobble-224-px/classic-dobble-224-px_001.png;ccic;anchor;carrot;candle;bomb;cactus;babybottle;cheesewedge;bison
002;dobble-decks/classic-dobble-224-px/classic-dobble-224-px_002.png;cci;anchor;clownface;chesspawn;dogface;deciduoustree;droplet;dragon;drunkperson
003;dobble-decks/classic-dobble-224-px/classic-dobble-224-px_003.png;ccic;fire;greenapple;eye;grinningcatwithsmilingeyes;fourleafclover;anchor;ghost;hammer
004;dobble-decks/classic-dobble-224-px/classic-dobble-224-px_004.png;ccib;highvoltage;heart;anchor;ice;handwithfingerssplayed;highheeledshoe;ladybeetle;key
005;dobble-decks/classic-dobble-224-px/classic-dobble-224-px_005.png;ccir;microbe;locked;mountfuji;lightbulb;mapleleaf;lastquartermoonface;mouth;anchor
006;dobble-decks/classic-dobble-224-px/classic-dobble-224-px_006.png;ccis;redquestionmark;redexclamationmark;anchor;pencil;scissors;oncomingpolicecar;musicalscore;rosette
007;dobble-decks/classic-dobble-224-px/classic-dobble-224-px_007.png;ccis;stopsign;spiderweb;snowmanwithoutsnow;skullandcrossbones;anchor;spider;snowflake;spoutingwhale
008;dobble-decks/classic-dobble-224-px/classic-dobble-224-px_008.png;cci;anchor;timer;turtle;sunwithface;yinyang;sunglasses;trex;twitter
009;dobble-decks/classic-dobble-224-px/classic-dobble-224-px_009.png;ccic;handwithfingerssplayed;skullandcrossbones;eye;lastquartermoonface;sunglasses;chesspawn;babybottle;musicalscore
010;dobble-decks/classic-dobble-224-px/classic-dobble-224-px_010.png;ccib;fire;lightbulb;clownface;babybottle;oncomingpolicecar;snowflake;sunwithface;heart
011;dobble-decks/classic-dobble-224-px/classic-dobble-224-px_011.png;ccic;highheeledshoe;deciduoustree;pencil;snowmanwithoutsnow;babybottle;timer;fourleafclover;locked
012;dobble-decks/classic-dobble-224-px/classic-dobble-224-px_012.png;cci;babybottle;trex;redexclamationmark;spider;mapleleaf;highvoltage;ghost;dogface
013;dobble-decks/classic-dobble-224-px/classic-dobble-224-px_013.png;ccic;spiderweb;ice;microbe;dragon;greenapple;turtle;babybottle;redquestionmark
014;dobble-decks/classic-dobble-224-px/classic-dobble-224-px_014.png;ccic;droplet;twitter;mountfuji;spoutingwhale;key;rosette;grinningcatwithsmilingeyes;babybottle
015;dobble-decks/classic-dobble-224-px/classic-dobble-224-px_015.png;cci;yinyang;drunkperson;ladybeetle;stopsign;mouth;scissors;babybottle;hammer
016;dobble-decks/classic-dobble-224-px/classic-dobble-224-px_016.png;ccis;bison;mapleleaf;redquestionmark;fire;highheeledshoe;spoutingwhale;chesspawn;yinyang
017;dobble-decks/classic-dobble-224-px/classic-dobble-224-px_017.png;ccir;clownface;bison;highvoltage;rosette;stopsign;fourleafclover;sunglasses;microbe
018;dobble-decks/classic-dobble-224-px/classic-dobble-224-px_018.png;ccir;sunwithface;mountfuji;ice;deciduoustree;skullandcrossbones;ghost;bison;scissors
019;dobble-decks/classic-dobble-224-px/classic-dobble-224-px_019.png;ccis;greenapple;timer;snowflake;mouth;musicalscore;bison;key;dogface
020;dobble-decks/classic-dobble-224-px/classic-dobble-224-px_020.png;ccis;grinningcatwithsmilingeyes;bison;dragon;lastquartermoonface;ladybeetle;snowmanwithoutsnow;trex;oncomingpolicecar
021;dobble-decks/classic-dobble-224-px/classic-dobble-224-px_021.png;cci;pencil;turtle;hammer;bison;lightbulb;droplet;spider;handwithfingerssplayed
022;dobble-decks/classic-dobble-224-px/classic-dobble-224-px_022.png;ccir;spiderweb;twitter;heart;redexclamationmark;locked;drunkperson;eye;bison
023;dobble-decks/classic-dobble-224-px/classic-dobble-224-px_023.png;ccis;oncomingpolicecar;bomb;twitter;ice;chesspawn;mouth;spider;fourleafclover
024;dobble-decks/classic-dobble-224-px/classic-dobble-224-px_024.png;cci;key;spiderweb;yinyang;clownface;bomb;pencil;lastquartermoonface;ghost
025;dobble-decks/classic-dobble-224-px/classic-dobble-224-px_025.png;ccib;lightbulb;deciduoustree;sunglasses;redexclamationmark;spoutingwhale;ladybeetle;bomb;greenapple
026;dobble-decks/classic-dobble-224-px/classic-dobble-224-px_026.png;ccic;redquestionmark;stopsign;locked;handwithfingerssplayed;grinningcatwithsmilingeyes;bomb;dogface;sunwithface
027;dobble-decks/classic-dobble-224-px/classic-dobble-224-px_027.png;ccib;bomb;timer;hammer;mapleleaf;heart;skullandcrossbones;dragon;rosette
028;dobble-decks/classic-dobble-224-px/classic-dobble-224-px_028.png;ccic;trex;scissors;eye;droplet;highheeledshoe;snowflake;microbe;bomb
029;dobble-decks/classic-dobble-224-px/classic-dobble-224-px_029.png;ccib;fire;bomb;drunkperson;turtle;snowmanwithoutsnow;mountfuji;musicalscore;highvoltage
030;dobble-decks/classic-dobble-224-px/classic-dobble-224-px_030.png;ccic;turtle;ladybeetle;cactus;rosette;locked;chesspawn;ghost;snowflake
031;dobble-decks/classic-dobble-224-px/classic-dobble-224-px_031.png;ccis;greenapple;mapleleaf;cactus;clownface;twitter;handwithfingerssplayed;scissors;snowmanwithoutsnow
032;dobble-decks/classic-dobble-224-px/classic-dobble-224-px_032.png;cci;musicalscore;yinyang;cactus;spider;heart;grinningcatwithsmilingeyes;microbe;deciduoustree
033;dobble-decks/classic-dobble-224-px/classic-dobble-224-px_033.png;ccir;dogface;hammer;cactus;spiderweb;mountfuji;oncomingpolicecar;highheeledshoe;sunglasses
034;dobble-decks/classic-dobble-224-px/classic-dobble-224-px_034.png;ccic;eye;dragon;spoutingwhale;sunwithface;cactus;mouth;pencil;highvoltage
035;dobble-decks/classic-dobble-224-px/classic-dobble-224-px_035.png;ccic;timer;redexclamationmark;cactus;lastquartermoonface;droplet;ice;fire;stopsign
036;dobble-decks/classic-dobble-224-px/classic-dobble-224-px_036.png;ccis;lightbulb;key;trex;cactus;redquestionmark;fourleafclover;skullandcrossbones;drunkperson
037;dobble-decks/classic-dobble-224-px/classic-dobble-224-px_037.png;cci;stopsign;chesspawn;mountfuji;pencil;greenapple;heart;candle;trex
038;dobble-decks/classic-dobble-224-px/classic-dobble-224-px_038.png;ccib;candle;turtle;skullandcrossbones;mouth;clownface;highheeledshoe;grinningcatwithsmilingeyes;redexclamationmark
039;dobble-decks/classic-dobble-224-px/classic-dobble-224-px_039.png;ccib;redquestionmark;hammer;twitter;candle;lastquartermoonface;snowflake;deciduoustree;highvoltage
040;dobble-decks/classic-dobble-224-px/classic-dobble-224-px_040.png;cci;snowmanwithoutsnow;ice;rosette;candle;eye;yinyang;lightbulb;dogface
041;dobble-decks/classic-dobble-224-px/classic-dobble-224-px_041.png;ccib;spider;candle;sunglasses;locked;key;dragon;scissors;fire
042;dobble-decks/classic-dobble-224-px/classic-dobble-224-px_042.png;ccir;ladybeetle;sunwithface;musicalscore;candle;droplet;spiderweb;mapleleaf;fourleafclover
043;dobble-decks/classic-dobble-224-px/classic-dobble-224-px_043.png;ccib;spoutingwhale;timer;handwithfingerssplayed;drunkperson;microbe;candle;ghost;oncomingpolicecar
044;dobble-decks/classic-dobble-224-px/classic-dobble-224-px_044.png;ccis;timer;highvoltage;scissors;lightbulb;carrot;grinningcatwithsmilingeyes;chesspawn;spiderweb
045;dobble-decks/classic-dobble-224-px/classic-dobble-224-px_045.png;ccic;spoutingwhale;locked;ice;trex;carrot;musicalscore;hammer;clownface
046;dobble-decks/classic-dobble-224-px/classic-dobble-224-px_046.png;ccir;key;oncomingpolicecar;carrot;stopsign;mapleleaf;eye;turtle;deciduoustree
047;dobble-decks/classic-dobble-224-px/classic-dobble-224-px_047.png;ccib;carrot;ladybeetle;dogface;microbe;fire;pencil;twitter;skullandcrossbones
048;dobble-decks/classic-dobble-224-px/classic-dobble-224-px_048.png;ccir;mountfuji;redexclamationmark;snowflake;fourleafclover;carrot;yinyang;dragon;handwithfingerssplayed
049;dobble-decks/classic-dobble-224-px/classic-dobble-224-px_049.png;ccis;heart;sunglasses;snowmanwithoutsnow;ghost;mouth;carrot;redquestionmark;droplet
050;dobble-decks/classic-dobble-224-px/classic-dobble-224-px_050.png;cci;highheeledshoe;carrot;spider;sunwithface;rosette;lastquartermoonface;greenapple;drunkperson
051;dobble-decks/classic-dobble-224-px/classic-dobble-224-px_051.png;cci;microbe;sunwithface;snowmanwithoutsnow;chesspawn;hammer;key;redexclamationmark;cheesewedge
052;dobble-decks/classic-dobble-224-px/classic-dobble-224-px_052.png;ccis;ladybeetle;redquestionmark;timer;mountfuji;eye;cheesewedge;spider;clownface
053;dobble-decks/classic-dobble-224-px/classic-dobble-224-px_053.png;ccic;handwithfingerssplayed;trex;deciduoustree;mouth;rosette;fire;spiderweb;cheesewedge
054;dobble-decks/classic-dobble-224-px/classic-dobble-224-px_054.png;ccis;heart;turtle;cheesewedge;spoutingwhale;fourleafclover;scissors;lastquartermoonface;dogface
055;dobble-decks/classic-dobble-224-px/classic-dobble-224-px_055.png;ccir;dragon;highheeledshoe;ghost;musicalscore;twitter;stopsign;lightbulb;cheesewedge
056;dobble-decks/classic-dobble-224-px/classic-dobble-224-px_056.png;ccib;skullandcrossbones;greenapple;yinyang;locked;highvoltage;cheesewedge;oncomingpolicecar;droplet
