Card1Path,Card2Path,CommonEmojiLabel
dobble-decks/classic-dobble-224-px/classic-dobble-224-px_001.png,dobble-decks/classic-dobble-224-px/classic-dobble-224-px_002.png,0
dobble-decks/classic-dobble-224-px/classic-dobble-224-px_001.png,dobble-decks/classic-dobble-224-px/classic-dobble-224-px_003.png,0
dobble-decks/classic-dobble-224-px/classic-dobble-224-px_001.png,dobble-decks/classic-dobble-224-px/classic-dobble-224-px_004.png,0
dobble-decks/classic-dobble-224-px/classic-dobble-224-px_001.png,dobble-decks/classic-dobble-224-px/classic-dobble-224-px_005.png,0
dobble-decks/classic-dobble-224-px/classic-dobble-224-px_001.png,dobble-decks/classic-dobble-224-px/classic-dobble-224-px_006.png,0
dobble-decks/classic-dobble-224-px/classic-dobble-224-px_001.png,dobble-decks/classic-dobble-224-px/classic-dobble-224-px_007.png,0
dobble-decks/classic-dobble-224-px/classic-dobble-224-px_001.png,dobble-decks/classic-dobble-224-px/classic-dobble-224-px_008.png,0
dobble-decks/classic-dobble-224-px/classic-dobble-224-px_001.png,dobble-decks/classic-dobble-224-px/classic-dobble-224-px_009.png,1
dobble-decks/classic-dobble-224-px/classic-dobble-224-px_001.png,dobble-decks/classic-dobble-224-px/classic-dobble-224-px_010.png,1
dobble-decks/classic-dobble-224-px/classic-dobble-224-px_001.png,dobble-decks/classic-dobble-224-px/classic-dobble-224-px_011.png,1
dobble-decks/classic-dobble-224-px/classic-dobble-224-px_001.png,dobble-decks/classic-dobble-224-px/classic-dobble-224-px_012.png,1
dobble-decks/classic-dobble-224-px/classic-dobble-224-px_001.png,dobble-decks/classic-dobble-224-px/classic-dobble-224-px_013.png,1
dobble-decks/classic-dobble-224-px/classic-dobble-224-px_001.png,dobble-decks/classic-dobble-224-px/classic-dobble-224-px_014.png,1
dobble-decks/classic-dobble-224-px/classic-dobble-224-px_001.png,dobble-decks/classic-dobble-224-px/classic-dobble-224-px_015.png,1
dobble-decks/classic-dobble-224-px/classic-dobble-224-px_001.png,dobble-decks/classic-dobble-224-px/classic-dobble-224-px_016.png,2
dobble-decks/classic-dobble-224-px/classic-dobble-224-px_001.png,dobble-decks/classic-dobble-224-px/classic-dobble-224-px_017.png,2
dobble-decks/classic-dobble-224-px/classic-dobble-224-px_001.png,dobble-decks/classic-dobble-224-px/classic-dobble-224-px_018.png,2
dobble-decks/classic-dobble-224-px/classic-dobble-224-px_001.png,dobble-decks/classic-dobble-224-px/classic-dobble-224-px_019.png,2
dobble-decks/classic-dobble-224-px/classic-dobble-224-px_001.png,dobble-decks/classic-dobble-224-px/classic-dobble-224-px_020.png,2
dobble-decks/classic-dobble-224-px/classic-dobble-224-px_001.png,dobble-decks/classic-dobble-224-px/classic-dobble-224-px_021.png,2
dobble-decks/classic-dobble-224-px/classic-dobble-224-px_001.png,dobble-decks/classic-dobble-224-px/classic-dobble-224-px_022.png,2
dobble-decks/classic-dobble-224-px/classic-dobble-224-px_001.png,dobble-decks/classic-dobble-224-px/classic-dobble-224-px_023.png,3
dobble-decks/classic-dobble-224-px/classic-dobble-224-px_001.png,dobble-decks/classic-dobble-224-px/classic-dobble-224-px_024.png,3
dobble-decks/classic-dobble-224-px/classic-dobble-224-px_001.png,dobble-decks/classic-dobble-224-px/classic-dobble-224-px_025.png,3
dobble-decks/classic-dobble-224-px/classic-dobble-224-px_001.png,dobble-decks/classic-dobble-224-px/classic-dobble-224-px_026.png,3
dobble-decks/classic-dobble-224-px/classic-dobble-224-px_001.png,dobble-decks/classic-dobble-224-px/classic-dobble-224-px_027.png,3
dobble-decks/classic-dobble-224-px/classic-dobble-224-px_001.png,dobble-decks/classic-dobble-224-px/classic-dobble-224-px_028.png,3
dobble-decks/classic-dobble-224-px/classic-dobble-224-px_001.png,dobble-decks/classic-dobble-224-px/classic-dobble-224-px_029.png,3
dobble-decks/classic-dobble-224-px/classic-dobble-224-px_001.png,dobble-decks/classic-dobble-224-px/classic-dobble-224-px_030.png,4
dobble-decks/classic-dobble-224-px/classic-dobble-224-px_001.png,dobble-decks/classic-dobble-224-px/classic-dobble-224-px_031.png,4
dobble-decks/classic-dobble-224-px/classic-dobble-224-px_001.png,dobble-decks/classic-dobble-224-px/classic-dobble-224-px_032.png,4
dobble-decks/classic-dobble-224-px/classic-dobble-224-px_001.png,dobble-decks/classic-dobble-224-px/classic-dobble-224-px_033.png,4
dobble-decks/classic-dobble-224-px/classic-dobble-224-px_001.png,dobble-decks/classic-dobble-224-px/classic-dobble-224-px_034.png,4
dobble-decks/classic-dobble-224-px/classic-dobble-224-px_001.png,dobble-decks/classic-dobble-224-px/classic-dobble-224-px_035.png,4
dobble-decks/classic-dobble-224-px/classic-dobble-224-px_001.png,dobble-decks/classic-dobble-224-px/classic-dobble-224-px_036.png,4
dobble-decks/classic-dobble-224-px/classic-dobble-224-px_001.png,dobble-decks/classic-dobble-224-px/classic-dobble-224-px_037.png,5
dobble-decks/classic-dobble-224-px/classic-dobble-224-px_001.png,dobble-decks/classic-dobble-224-px/classic-dobble-224-px_038.png,5
dobble-decks/classic-dobble-224-px/classic-dobble-224-px_001.png,dobble-decks/classic-dobble-224-px/classic-dobble-224-px_039.png,5
dobble-decks/classic-dobble-224-px/classic-dobble-224-px_001.png,dobble-decks/classic-dobble-224-px/classic-dobble-224-px_040.png,5
dobble-decks/classic-dobble-224-px/classic-dobble-224-px_001.png,dobble-decks/classic-dobble-224-px/classic-dobble-224-px_041.png,5
dobble-decks/classic-dobble-224-px/classic-dobble-224-px_001.png,dobble-decks/classic-dobble-224-px/classic-dobble-224-px_042.png,5
dobble-decks/classic-dobble-224-px/classic-dobble-224-px_001.png,dobble-decks/classic-dobble-224-px/classic-dobble-224-px_043.png,5
dobble-decks/classic-dobble-224-px/classic-dobble-224-px_001.png,dobble-decks/classic-dobble-224-px/classic-dobble-224-px_044.png,6
