Card1Path,Card2Path,CommonEmojiLabel
../data/processed/classic-dobble-1024-px/classic-dobble-1024-px_001.png,../data/processed/classic-dobble-1024-px/classic-dobble-1024-px_002.png,0
../data/processed/classic-dobble-1024-px/classic-dobble-1024-px_001.png,../data/processed/classic-dobble-1024-px/classic-dobble-1024-px_003.png,0
../data/processed/classic-dobble-1024-px/classic-dobble-1024-px_001.png,../data/processed/classic-dobble-1024-px/classic-dobble-1024-px_004.png,0
../data/processed/classic-dobble-1024-px/classic-dobble-1024-px_001.png,../data/processed/classic-dobble-1024-px/classic-dobble-1024-px_005.png,0
../data/processed/classic-dobble-1024-px/classic-dobble-1024-px_001.png,../data/processed/classic-dobble-1024-px/classic-dobble-1024-px_006.png,0
../data/processed/classic-dobble-1024-px/classic-dobble-1024-px_001.png,../data/processed/classic-dobble-1024-px/classic-dobble-1024-px_007.png,0
../data/processed/classic-dobble-1024-px/classic-dobble-1024-px_001.png,../data/processed/classic-dobble-1024-px/classic-dobble-1024-px_008.png,0
../data/processed/classic-dobble-1024-px/classic-dobble-1024-px_001.png,../data/processed/classic-dobble-1024-px/classic-dobble-1024-px_009.png,1
../data/processed/classic-dobble-1024-px/classic-dobble-1024-px_001.png,../data/processed/classic-dobble-1024-px/classic-dobble-1024-px_010.png,1
../data/processed/classic-dobble-1024-px/classic-dobble-1024-px_001.png,../data/processed/classic-dobble-1024-px/classic-dobble-1024-px_011.png,1
../data/processed/classic-dobble-1024-px/classic-dobble-1024-px_001.png,../data/processed/classic-dobble-1024-px/classic-dobble-1024-px_012.png,1
../data/processed/classic-dobble-1024-px/classic-dobble-1024-px_001.png,../data/processed/classic-dobble-1024-px/classic-dobble-1024-px_013.png,1
../data/processed/classic-dobble-1024-px/classic-dobble-1024-px_001.png,../data/processed/classic-dobble-1024-px/classic-dobble-1024-px_014.png,1
../data/processed/classic-dobble-1024-px/classic-dobble-1024-px_001.png,../data/processed/classic-dobble-1024-px/classic-dobble-1024-px_015.png,1
../data/processed/classic-dobble-1024-px/classic-dobble-1024-px_001.png,../data/processed/classic-dobble-1024-px/classic-dobble-1024-px_016.png,2
../data/processed/classic-dobble-1024-px/classic-dobble-1024-px_001.png,../data/processed/classic-dobble-1024-px/classic-dobble-1024-px_017.png,2
../data/processed/classic-dobble-1024-px/classic-dobble-1024-px_001.png,../data/processed/classic-dobble-1024-px/classic-dobble-1024-px_018.png,2
../data/processed/classic-dobble-1024-px/classic-dobble-1024-px_001.png,../data/processed/classic-dobble-1024-px/classic-dobble-1024-px_019.png,2
../data/processed/classic-dobble-1024-px/classic-dobble-1024-px_001.png,../data/processed/classic-dobble-1024-px/classic-dobble-1024-px_020.png,2
../data/processed/classic-dobble-1024-px/classic-dobble-1024-px_001.png,../data/processed/classic-dobble-1024-px/classic-dobble-1024-px_021.png,2
../data/processed/classic-dobble-1024-px/classic-dobble-1024-px_001.png,../data/processed/classic-dobble-1024-px/classic-dobble-1024-px_022.png,2
../data/processed/classic-dobble-1024-px/classic-dobble-1024-px_001.png,../data/processed/classic-dobble-1024-px/classic-dobble-1024-px_023.png,3
../data/processed/classic-dobble-1024-px/classic-dobble-1024-px_001.png,../data/processed/classic-dobble-1024-px/classic-dobble-1024-px_024.png,3
../data/processed/classic-dobble-1024-px/classic-dobble-1024-px_001.png,../data/processed/classic-dobble-1024-px/classic-dobble-1024-px_025.png,3
../data/processed/classic-dobble-1024-px/classic-dobble-1024-px_001.png,../data/processed/classic-dobble-1024-px/classic-dobble-1024-px_026.png,3
../data/processed/classic-dobble-1024-px/classic-dobble-1024-px_001.png,../data/processed/classic-dobble-1024-px/classic-dobble-1024-px_027.png,3
../data/processed/classic-dobble-1024-px/classic-dobble-1024-px_001.png,../data/processed/classic-dobble-1024-px/classic-dobble-1024-px_028.png,3
../data/processed/classic-dobble-1024-px/classic-dobble-1024-px_001.png,../data/processed/classic-dobble-1024-px/classic-dobble-1024-px_029.png,3
../data/processed/classic-dobble-1024-px/classic-dobble-1024-px_001.png,../data/processed/classic-dobble-1024-px/classic-dobble-1024-px_030.png,4
../data/processed/classic-dobble-1024-px/classic-dobble-1024-px_001.png,../data/processed/classic-dobble-1024-px/classic-dobble-1024-px_031.png,4
