FilePath,PackingType,Emoji1,Emoji2,Emoji3,Emoji4,Emoji5,Emoji6,Emoji7,Emoji8
../data/processed/classic-dobble-224-px/classic-dobble-224-px_001.png,ccis,cheesewedge,carrot,candle,babybottle,bison,cactus,anchor,bomb
../data/processed/classic-dobble-224-px/classic-dobble-224-px_002.png,ccib,dragon,dogface,chesspawn,drunkperson,droplet,clownface,deciduoustree,anchor
../data/processed/classic-dobble-224-px/classic-dobble-224-px_003.png,ccir,ghost,fourleafclover,fire,eye,hammer,anchor,greenapple,grinningcatwithsmilingeyes
../data/processed/classic-dobble-224-px/classic-dobble-224-px_004.png,ccir,key,heart,ice,ladybeetle,highheeledshoe,highvoltage,handwithfingerssplayed,anchor
../data/processed/classic-dobble-224-px/classic-dobble-224-px_005.png,cci,mouth,microbe,mountfuji,locked,anchor,mapleleaf,lightbulb,lastquartermoonface
../data/processed/classic-dobble-224-px/classic-dobble-224-px_006.png,ccib,pencil,rosette,oncomingpolicecar,anchor,redquestionmark,musicalscore,scissors,redexclamationmark
../data/processed/classic-dobble-224-px/classic-dobble-224-px_007.png,cci,spider,snowmanwithoutsnow,snowflake,stopsign,anchor,spoutingwhale,skullandcrossbones,spiderweb
../data/processed/classic-dobble-224-px/classic-dobble-224-px_008.png,cci,sunwithface,sunglasses,anchor,timer,yinyang,turtle,trex,twitter
../data/processed/classic-dobble-224-px/classic-dobble-224-px_009.png,ccic,babybottle,handwithfingerssplayed,chesspawn,musicalscore,eye,sunglasses,skullandcrossbones,lastquartermoonface
../data/processed/classic-dobble-224-px/classic-dobble-224-px_010.png,ccib,clownface,snowflake,heart,fire,lightbulb,babybottle,sunwithface,oncomingpolicecar
../data/processed/classic-dobble-224-px/classic-dobble-224-px_011.png,ccib,pencil,highheeledshoe,deciduoustree,locked,timer,fourleafclover,snowmanwithoutsnow,babybottle
../data/processed/classic-dobble-224-px/classic-dobble-224-px_012.png,ccib,trex,babybottle,spider,highvoltage,dogface,ghost,mapleleaf,redexclamationmark
../data/processed/classic-dobble-224-px/classic-dobble-224-px_013.png,ccir,greenapple,redquestionmark,ice,microbe,turtle,spiderweb,dragon,babybottle
../data/processed/classic-dobble-224-px/classic-dobble-224-px_014.png,ccib,spoutingwhale,babybottle,key,rosette,twitter,grinningcatwithsmilingeyes,droplet,mountfuji
../data/processed/classic-dobble-224-px/classic-dobble-224-px_015.png,ccib,ladybeetle,scissors,babybottle,hammer,yinyang,stopsign,mouth,drunkperson
../data/processed/classic-dobble-224-px/classic-dobble-224-px_016.png,ccir,highheeledshoe,mapleleaf,fire,yinyang,bison,chesspawn,redquestionmark,spoutingwhale
../data/processed/classic-dobble-224-px/classic-dobble-224-px_017.png,ccir,clownface,bison,highvoltage,stopsign,sunglasses,rosette,fourleafclover,microbe
../data/processed/classic-dobble-224-px/classic-dobble-224-px_018.png,ccir,deciduoustree,skullandcrossbones,ghost,bison,sunwithface,scissors,mountfuji,ice
../data/processed/classic-dobble-224-px/classic-dobble-224-px_019.png,cci,dogface,musicalscore,mouth,snowflake,bison,key,timer,greenapple
../data/processed/classic-dobble-224-px/classic-dobble-224-px_020.png,ccis,bison,ladybeetle,lastquartermoonface,snowmanwithoutsnow,dragon,grinningcatwithsmilingeyes,oncomingpolicecar,trex
../data/processed/classic-dobble-224-px/classic-dobble-224-px_021.png,cci,droplet,pencil,handwithfingerssplayed,lightbulb,spider,hammer,bison,turtle
../data/processed/classic-dobble-224-px/classic-dobble-224-px_022.png,ccis,drunkperson,heart,bison,redexclamationmark,twitter,spiderweb,eye,locked
../data/processed/classic-dobble-224-px/classic-dobble-224-px_023.png,cci,twitter,fourleafclover,spider,oncomingpolicecar,ice,mouth,bomb,chesspawn
../data/processed/classic-dobble-224-px/classic-dobble-224-px_024.png,ccic,yinyang,spiderweb,bomb,pencil,ghost,lastquartermoonface,key,clownface
../data/processed/classic-dobble-224-px/classic-dobble-224-px_025.png,ccir,ladybeetle,greenapple,redexclamationmark,deciduoustree,lightbulb,spoutingwhale,sunglasses,bomb
